UID          PID    PPID  C STIME TTY          TIME CMD
root         763       1  0 14:52 ?        00:00:00 /usr/sbin/lightdm
root         781       1  0 14:52 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         782     763  0 14:52 tty7     00:00:08 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
systemd+     980       1  0 14:52 ?        00:00:00 /lib/systemd/systemd-networkd
root        1022       2  0 14:52 ?        00:00:00 [cfg80211]
root        1033       2  0 14:52 ?        00:00:00 [psimon]
rtkit       1118       1  0 14:52 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1252     763  0 14:52 ?        00:00:00 lightdm --session-child 16 25
lotaher     1260       1  0 14:53 ?        00:00:00 /lib/systemd/systemd --user
lotaher     1261    1260  0 14:53 ?        00:00:00 (sd-pam)
root        1275       2  0 14:53 ?        00:00:00 [psimon]
lotaher     1278    1260  0 14:53 ?        00:00:00 /usr/bin/pipewire
lotaher     1280    1260  0 14:53 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
lotaher     1281    1260  0 14:53 ?        00:00:00 /usr/bin/wireplumber
lotaher     1282    1260  0 14:53 ?        00:00:00 /usr/bin/pipewire-pulse
lotaher     1283    1260  0 14:53 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lotaher     1284    1260  0 14:53 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
lotaher     1305    1252  0 14:53 ?        00:00:00 xfce4-session
lotaher     1352    1305  0 14:53 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
lotaher     1363    1260  0 14:53 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
lotaher     1370    1363  0 14:53 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
lotaher     1381    1260  0 14:53 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
lotaher     1394    1260  0 14:53 ?        00:00:00 /usr/bin/gpg-agent --supervised
lotaher     1396    1305  0 14:53 ?        00:00:02 xfwm4
lotaher     1400    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfsd
lotaher     1406    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
lotaher     1421    1260  0 14:53 ?        00:00:00 /usr/libexec/xdg-permission-store
lotaher     1422    1305  0 14:53 ?        00:00:00 xfsettingsd
root        1430       1  0 14:53 ?        00:00:00 /usr/libexec/upowerd
lotaher     1436    1305  0 14:53 ?        00:00:00 xfce4-panel
lotaher     1441    1305  0 14:53 ?        00:00:00 Thunar --daemon
lotaher     1452    1305  0 14:53 ?        00:00:01 xfdesktop
lotaher     1456    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
lotaher     1460    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
lotaher     1461    1436  0 14:53 ?        00:00:05 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
lotaher     1463    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
lotaher     1465       1  0 14:53 ?        00:00:00 xcape -e Super_L Control_L Escape
lotaher     1466    1305  0 14:53 ?        00:00:00 light-locker
lotaher     1468    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
lotaher     1473    1305  0 14:53 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
lotaher     1477    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
lotaher     1486    1436  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
lotaher     1501    1260  0 14:53 ?        00:00:00 /usr/libexec/dconf-service
lotaher     1502    1305  0 14:53 ?        00:00:00 xiccd
lotaher     1518       1  0 14:53 ?        00:00:03 /usr/bin/vmtoolsd -n vmusr --blockFd 3
lotaher     1527    1305  0 14:53 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
colord      1528       1  0 14:53 ?        00:00:00 /usr/libexec/colord
lotaher     1548    1305  0 14:53 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
lotaher     1558    1305  0 14:53 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
lotaher     1585    1305  0 14:53 ?        00:00:00 nm-applet
lotaher     1596    1305  0 14:53 ?        00:00:00 xfce4-power-manager
lotaher     1729    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
lotaher     1733    1260  0 14:53 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        1734       1  0 14:53 ?        00:00:00 /usr/libexec/udisks2/udisksd
lotaher     1746    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
lotaher     1752    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lotaher     1757    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lotaher     1762    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lotaher     1772    1400  0 14:53 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
lotaher     1778    1260  0 14:53 ?        00:00:00 /usr/libexec/gvfsd-metadata
lotaher     1806       1  0 14:53 ?        00:00:03 /usr/bin/qterminal
lotaher     1809    1806  0 14:53 pts/0    00:00:05 /usr/bin/zsh
lotaher     3779    1400  0 14:55 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
lotaher     4070    1400  0 14:56 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.20 /org/gtk/gvfs/exec_spaw/3
root        5018       2  0 14:58 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
lotaher     7414    1260  0 15:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal
lotaher     7419    1260  0 15:02 ?        00:00:00 /usr/libexec/xdg-document-portal
root        7425    7419  0 15:02 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
lotaher     7428    1260  0 15:02 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root       10767       2  0 15:08 ?        00:00:00 [kworker/0:2-cgroup_destroy]
root       10808       2  0 15:08 ?        00:00:00 [kworker/u4:0-events_unbound]
root       14901       2  0 15:16 ?        00:00:00 [kworker/1:1-events]
lotaher    17112    1260  0 15:21 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root       17451       2  0 15:21 ?        00:00:00 [kworker/1:2-events]
lotaher    19883    1809  0 15:25 pts/0    00:00:00 ps -ef
